ESNTL_NO,TRGET_BOOK_MASTR_CD,TRGET_BOOK_ONE_MASTR_CD,TRGET_BOOK_TWO_MASTR_CD,LON_FQ_CO,PBLT_VALUE,SCORE_VALUE,REGIST_DE
"2967471-2601589","2601589,2967471","2967471","2601589","304","0.14587332053742802","0.0","20211020"
"2967471-2601747","2601747,2967471","2967471","2601747","297","0.14271984622777512","0.0","20211020"
"2967471-2599842","2599842,2967471","2967471","2599842","286","0.11607142857142858","0.0","20211020"
"2967471-2375204","2375204,2967471","2967471","2375204","280","0.05984184654840778","0.0","20211020"
"2967471-2609532","2609532,2967471","2967471","2609532","272","0.08737552200449727","0.0","20211020"
"2425623-5220784","2425623,5220784","2425623","5220784","1089","2.013578433964797E-4","0.0","20211020"
"2425623-3158432","2425623,3158432","2425623","3158432","546","0.02847457627118644","0.0","20211020"
"2425623-2372254","2372254,2425623","2425623","2372254","446","0.08613364233294708","0.0","20211020"
"2425623-2601413","2425623,2601413","2425623","2601413","413","0.03932584269662921","0.0","20211020"
"2425623-335454","2425623,335454","2425623","335454","412","0.029687274823461594","0.0","20211020"
"2425623-1966961","1966961,2425623","2425623","1966961","408","0.04362703165098375","0.0","20211020"
"2425623-2615555","2425623,2615555","2425623","2615555","399","0.07250590586952571","0.0","20211020"
"2425623-2480891","2425623,2480891","2425623","2480891","387","0.03523627424201038","0.0","20211020"
"2425623-3118640","2425623,3118640","2425623","3118640","378","0.037664408130729375","0.0","20211020"
"2425623-2372082","2372082,2425623","2425623","2372082","376","0.04595453434368125","0.0","20211020"
"6078243-5220784","5220784,6078243","6078243","5220784","97","1.793545528875898E-5","0.0","20211020"
"6078243-6034058","6034058,6078243","6078243","6034058","49","0.019215686274509803","0.0","20211020"
"6078243-5436312","5436312,6078243","6078243","5436312","46","0.0016270514997170345","0.0","20211020"
"6078243-5414732","5414732,6078243","6078243","5414732","44","0.0014758167303951164","0.0","20211020"
"6078243-5666934","5666934,6078243","6078243","5666934","44","0.0018687619452112975","0.0","20211020"
"6078243-5623859","5623859,6078243","6078243","5623859","42","0.00216595327729359","0.0","20211020"
"6078243-6036489","6036489,6078243","6078243","6036489","41","0.011297878203361807","0.0","20211020"
"6078243-5687017","5687017,6078243","6078243","5687017","38","0.0017016703237651696","0.0","20211020"
"6078243-5860738","5860738,6078243","6078243","5860738","38","0.005327351745408664","0.0","20211020"
"6078243-5623861","5623861,6078243","6078243","5623861","37","0.003441860465116279","0.0","20211020"
"2372746-3128902","2372746,3128902","2372746","3128902","13138","0.23596817357257036","0.0","20211020"
"2372746-3423451","2372746,3423451","2372746","3423451","11749","0.1716736316081709","0.0","20211020"
"2372746-3724569","2372746,3724569","2372746","3724569","11485","0.20183115422465908","0.0","20211020"
"2372746-5220784","2372746,5220784","2372746","5220784","11434","0.0021141649048625794","0.0","20211020"
"2372746-5390730","2372746,5390730","2372746","5390730","6431","0.14957901102479415","0.0","20211020"
"2372746-2645754","2372746,2645754","2372746","2645754","5984","0.18534923339011924","0.0","20211020"
"2372746-2396971","2372746,2396971","2372746","2396971","5301","0.09347557749955916","0.0","20211020"
"2372746-2649341","2372746,2649341","2372746","2649341","5068","0.18179861534598415","0.0","20211020"
"2372746-835963","2372746,835963","2372746","835963","4263","0.14682785699524695","0.0","20211020"
"2372746-2604318","2372746,2604318","2372746","2604318","3874","0.081408788114401","0.0","20211020"
"3408068-5220784","3408068,5220784","3408068","5220784","4456","8.239215336774229E-4","0.0","20211020"
